SKU;Tamanho Pedido;Loja;Data da Venda;Marca;Preco
HL1013;5;Belo Horizonte;17/01/2010;Nikon;R$ 1.550,00
HL1008;4;Sao Paulo;17/01/2010;Philco;R$ 2.000,00
HL1018;2;Fortaleza;17/01/2010;Xiaomi;R$ 1.200,00
HL1015;3;Sao Paulo;18/01/2010;Sony;R$ 700,00
HL1020;1;Salvador;18/01/2010;Motorola;R$ 1.500,00
HL1005;1;Nova Iguacu;18/01/2010;Canon;R$ 1.500,00
HL1013;4;Sao Paulo;18/01/2010;Nikon;R$ 1.550,00
HL1015;4;Goiania;18/01/2010;Sony;R$ 700,00
HL1020;3;Guarulhos;18/01/2010;Motorola;R$ 1.500,00
HL1015;2;Rio de Janeiro;19/01/2010;Sony;R$ 700,00
HL1018;3;Recife;19/01/2010;Xiaomi;R$ 1.200,00
HL1018;2;Rio de Janeiro;19/01/2010;Xiaomi;R$ 1.200,00
HL1013;4;Sao Paulo;19/01/2010;Nikon;R$ 1.550,00
HL1013;2;Fortaleza;20/01/2010;Nikon;R$ 1.550,00
HL1015;5;Rio de Janeiro;20/01/2010;Sony;R$ 700,00
HL1005;3;Recife;20/01/2010;Canon;R$ 1.500,00
HL1018;5;Belo Horizonte;20/01/2010;Xiaomi;R$ 1.200,00
HL1008;3;Rio de Janeiro;20/01/2010;Philco;R$ 2.000,00
HL1005;2;Nova Iguacu;20/01/2010;Canon;R$ 1.500,00
HL1009;2;Salvador;20/01/2010;Motorola;R$ 1.400,00
HL1015;2;Campinas;21/01/2010;Sony;R$ 700,00
HL1020;2;Rio de Janeiro;21/01/2010;Motorola;R$ 1.500,00
HL1008;2;Sao Paulo;21/01/2010;Philco;R$ 2.000,00
HL1018;5;Curitiba;21/01/2010;Xiaomi;R$ 1.200,00
HL1015;4;Guarulhos;21/01/2010;Sony;R$ 700,00
HL1008;3;Sao Paulo;22/01/2010;Philco;R$ 2.000,00
HL1015;3;Sao Paulo;22/01/2010;Sony;R$ 700,00
HL1015;4;Sao Paulo;22/01/2010;Sony;R$ 700,00
HL1024;3;Rio de Janeiro;22/01/2010;Acer;R$ 2.400,00
HL1008;3;Sao Paulo;22/01/2010;Philco;R$ 2.000,00
HL1024;3;Guarulhos;22/01/2010;Acer;R$ 2.400,00
HL1018;1;Rio de Janeiro;23/01/2010;Xiaomi;R$ 1.200,00
HL1020;4;Sao Paulo;23/01/2010;Motorola;R$ 1.500,00
HL1005;3;Rio de Janeiro;23/01/2010;Canon;R$ 1.500,00
HL1005;3;Fortaleza;24/01/2010;Canon;R$ 1.500,00
HL1013;3;Fortaleza;24/01/2010;Nikon;R$ 1.550,00
HL1013;1;Rio de Janeiro;24/01/2010;Nikon;R$ 1.550,00
HL1015;5;Campinas;24/01/2010;Sony;R$ 700,00
HL1013;3;Curitiba;25/01/2010;Nikon;R$ 1.550,00
HL1005;1;Guarulhos;25/01/2010;Canon;R$ 1.500,00
HL1009;3;Belo Horizonte;25/01/2010;Motorola;R$ 1.400,00
HL1005;5;Salvador;26/01/2010;Canon;R$ 1.500,00
HL1009;1;Porto Alegre;26/01/2010;Motorola;R$ 1.400,00
HL1008;3;Belo Horizonte;26/01/2010;Philco;R$ 2.000,00
HL1005;3;Sao Paulo;26/01/2010;Canon;R$ 1.500,00
HL1024;5;Nova Iguacu;26/01/2010;Acer;R$ 2.400,00
HL1015;1;Sao Paulo;26/01/2010;Sony;R$ 700,00
HL1008;2;Curitiba;27/01/2010;Philco;R$ 2.000,00
HL1013;3;Goiania;28/01/2010;Nikon;R$ 1.550,00
HL1013;5;Nova Iguacu;28/01/2010;Nikon;R$ 1.550,00
HL1008;2;Rio de Janeiro;28/01/2010;Philco;R$ 2.000,00
HL1018;4;Salvador;28/01/2010;Xiaomi;R$ 1.200,00
HL1024;4;Fortaleza;29/01/2010;Acer;R$ 2.400,00
HL1020;4;Goiania;29/01/2010;Motorola;R$ 1.500,00
HL1015;5;Salvador;29/01/2010;Sony;R$ 700,00
HL1009;5;Recife;29/01/2010;Motorola;R$ 1.400,00
HL1008;5;Rio de Janeiro;30/01/2010;Philco;R$ 2.000,00
HL1005;2;Fortaleza;30/01/2010;Canon;R$ 1.500,00
HL1005;1;Sao Paulo;30/01/2010;Canon;R$ 1.500,00
HL1015;3;Rio de Janeiro;30/01/2010;Sony;R$ 700,00
HL1009;5;Belo Horizonte;31/01/2010;Motorola;R$ 1.400,00
HL1009;4;Guarulhos;31/01/2010;Motorola;R$ 1.400,00
HL1009;1;Salvador;31/01/2010;Motorola;R$ 1.400,00
HL1013;2;Guarulhos;31/01/2010;Nikon;R$ 1.550,00
HL1008;1;Guarulhos;31/01/2010;Philco;R$ 2.000,00
HL1015;1;Niteroi;31/01/2010;Sony;R$ 700,00
HL1018;4;Guarulhos;31/01/2010;Xiaomi;R$ 1.200,00
HL1009;2;Curitiba;01/02/2010;Motorola;R$ 1.400,00
HL1013;4;Sao Paulo;01/02/2010;Nikon;R$ 1.550,00
HL1024;4;Belo Horizonte;01/02/2010;Acer;R$ 2.400,00
HL1008;4;Belo Horizonte;01/02/2010;Philco;R$ 2.000,00
HL1020;1;Porto Alegre;01/02/2010;Motorola;R$ 1.500,00
HL1005;2;Recife;01/02/2010;Canon;R$ 1.500,00
HL1015;3;Sao Paulo;01/02/2010;Sony;R$ 700,00
HL1005;3;Curitiba;01/02/2010;Canon;R$ 1.500,00
HL1007;4;Recife;01/02/2010;Dell;R$ 2.300,00
HL1005;5;Salvador;01/02/2010;Canon;R$ 1.500,00
HL1008;4;Fortaleza;02/02/2010;Philco;R$ 2.000,00
HL1005;5;Sao Paulo;02/02/2010;Canon;R$ 1.500,00
HL1018;1;Guarulhos;02/02/2010;Xiaomi;R$ 1.200,00
HL1012;5;Recife;02/02/2010;Dell;R$ 5.500,00
HL1008;4;Belo Horizonte;03/02/2010;Philco;R$ 2.000,00
HL1008;5;Sao Paulo;03/02/2010;Philco;R$ 2.000,00
HL1009;1;Fortaleza;03/02/2010;Motorola;R$ 1.400,00
HL1015;1;Salvador;04/02/2010;Sony;R$ 700,00
HL1015;2;Goiania;04/02/2010;Sony;R$ 700,00
HL1015;4;Recife;04/02/2010;Sony;R$ 700,00
HL1018;5;Sao Paulo;05/02/2010;Xiaomi;R$ 1.200,00
HL1024;3;Recife;05/02/2010;Acer;R$ 2.400,00
HL1013;5;Salvador;05/02/2010;Nikon;R$ 1.550,00
HL1013;4;Recife;05/02/2010;Nikon;R$ 1.550,00
HL1018;5;Sao Paulo;06/02/2010;Xiaomi;R$ 1.200,00
HL1005;2;Fortaleza;06/02/2010;Canon;R$ 1.500,00
HL1009;4;Sao Paulo;06/02/2010;Motorola;R$ 1.400,00
HL1015;3;Porto Alegre;06/02/2010;Sony;R$ 700,00
HL1005;5;Sao Paulo;06/02/2010;Canon;R$ 1.500,00
HL1015;2;Sao Paulo;07/02/2010;Sony;R$ 700,00
HL1013;1;Goiania;07/02/2010;Nikon;R$ 1.550,00
HL1015;3;Sao Paulo;07/02/2010;Sony;R$ 700,00
HL1024;3;Curitiba;07/02/2010;Acer;R$ 2.400,00
HL1009;2;Sao Paulo;07/02/2010;Motorola;R$ 1.400,00
HL1005;4;Curitiba;07/02/2010;Canon;R$ 1.500,00
HL1015;4;Sao Paulo;08/02/2010;Sony;R$ 700,00
HL1018;1;Sao Paulo;08/02/2010;Xiaomi;R$ 1.200,00
HL1008;4;Curitiba;08/02/2010;Philco;R$ 2.000,00
HL1020;3;Salvador;08/02/2010;Motorola;R$ 1.500,00
HL1015;4;Salvador;08/02/2010;Sony;R$ 700,00
HL1013;4;Belo Horizonte;09/02/2010;Nikon;R$ 1.550,00
HL1018;3;Sao Paulo;09/02/2010;Xiaomi;R$ 1.200,00
HL1018;5;Curitiba;09/02/2010;Xiaomi;R$ 1.200,00
HL1009;2;Campinas;09/02/2010;Motorola;R$ 1.400,00
HL1015;4;Recife;09/02/2010;Sony;R$ 700,00
HL1005;2;Salvador;09/02/2010;Canon;R$ 1.500,00
HL1008;5;Recife;09/02/2010;Philco;R$ 2.000,00
HL1009;4;Recife;09/02/2010;Motorola;R$ 1.400,00
HL1008;5;Porto Alegre;09/02/2010;Philco;R$ 2.000,00
HL1009;2;Sao Paulo;10/02/2010;Motorola;R$ 1.400,00
HL1015;3;Sao Paulo;10/02/2010;Sony;R$ 700,00
HL1005;3;Sao Paulo;10/02/2010;Canon;R$ 1.500,00
HL1015;4;Sao Paulo;10/02/2010;Sony;R$ 700,00
HL1013;3;Sao Paulo;10/02/2010;Nikon;R$ 1.550,00
HL1015;4;Recife;10/02/2010;Sony;R$ 700,00
HL1015;1;Fortaleza;10/02/2010;Sony;R$ 700,00
HL1015;3;Campinas;11/02/2010;Sony;R$ 700,00
HL1018;3;Guarulhos;11/02/2010;Xiaomi;R$ 1.200,00
HL1015;1;Nova Iguacu;11/02/2010;Sony;R$ 700,00
HL1015;2;Niteroi;11/02/2010;Sony;R$ 700,00
HL1015;4;Belo Horizonte;11/02/2010;Sony;R$ 700,00
HL1005;3;Porto Alegre;11/02/2010;Canon;R$ 1.500,00
HL1005;2;Sao Paulo;11/02/2010;Canon;R$ 1.500,00
HL1009;4;Curitiba;11/02/2010;Motorola;R$ 1.400,00
HL1009;4;Sao Paulo;11/02/2010;Motorola;R$ 1.400,00
HL1018;2;Goiania;12/02/2010;Xiaomi;R$ 1.200,00
HL1018;5;Curitiba;12/02/2010;Xiaomi;R$ 1.200,00
HL1018;2;Porto Alegre;12/02/2010;Xiaomi;R$ 1.200,00
HL1009;2;Porto Alegre;12/02/2010;Motorola;R$ 1.400,00
HL1015;1;Niteroi;12/02/2010;Sony;R$ 700,00
HL1013;5;Fortaleza;12/02/2010;Nikon;R$ 1.550,00
HL1018;5;Nova Iguacu;12/02/2010;Xiaomi;R$ 1.200,00
HL1024;2;Sao Paulo;13/02/2010;Acer;R$ 2.400,00
HL1009;2;Salvador;13/02/2010;Motorola;R$ 1.400,00
HL1009;2;Rio de Janeiro;13/02/2010;Motorola;R$ 1.400,00
HL1008;3;Recife;14/02/2010;Philco;R$ 2.000,00
HL1009;2;Sao Paulo;14/02/2010;Motorola;R$ 1.400,00
HL1015;1;Porto Alegre;14/02/2010;Sony;R$ 700,00
HL1015;5;Sao Paulo;14/02/2010;Sony;R$ 700,00
HL1020;1;Fortaleza;15/02/2010;Motorola;R$ 1.500,00
HL1008;5;Porto Alegre;15/02/2010;Philco;R$ 2.000,00
HL1020;3;Sao Paulo;15/02/2010;Motorola;R$ 1.500,00
HL1009;3;Belo Horizonte;15/02/2010;Motorola;R$ 1.400,00
HL1008;1;Belo Horizonte;15/02/2010;Philco;R$ 2.000,00
HL1005;2;Salvador;16/02/2010;Canon;R$ 1.500,00
HL1005;1;Recife;16/02/2010;Canon;R$ 1.500,00
HL1013;1;Campinas;16/02/2010;Nikon;R$ 1.550,00
HL1015;4;Salvador;16/02/2010;Sony;R$ 700,00
HL1015;5;Recife;16/02/2010;Sony;R$ 700,00
HL1009;3;Nova Iguacu;17/02/2010;Motorola;R$ 1.400,00
HL1015;4;Fortaleza;17/02/2010;Sony;R$ 700,00
HL1009;5;Guarulhos;17/02/2010;Motorola;R$ 1.400,00
HL1005;3;Rio de Janeiro;17/02/2010;Canon;R$ 1.500,00
HL1009;5;Rio de Janeiro;17/02/2010;Motorola;R$ 1.400,00
HL1009;5;Rio de Janeiro;17/02/2010;Motorola;R$ 1.400,00
HL1018;3;Guarulhos;17/02/2010;Xiaomi;R$ 1.200,00
HL1005;5;Sao Paulo;18/02/2010;Canon;R$ 1.500,00
HL1015;1;Rio de Janeiro;18/02/2010;Sony;R$ 700,00
HL1018;1;Sao Paulo;18/02/2010;Xiaomi;R$ 1.200,00
HL1005;2;Sao Paulo;18/02/2010;Canon;R$ 1.500,00
HL1008;3;Recife;19/02/2010;Philco;R$ 2.000,00
HL1008;4;Belo Horizonte;19/02/2010;Philco;R$ 2.000,00
HL1013;5;Sao Paulo;19/02/2010;Nikon;R$ 1.550,00
HL1008;5;Guarulhos;19/02/2010;Philco;R$ 2.000,00
HL1005;4;Rio de Janeiro;19/02/2010;Canon;R$ 1.500,00
HL1015;4;Rio de Janeiro;20/02/2010;Sony;R$ 700,00
HL1009;5;Sao Paulo;20/02/2010;Motorola;R$ 1.400,00
HL1005;1;Curitiba;20/02/2010;Canon;R$ 1.500,00
HL1015;3;Recife;20/02/2010;Sony;R$ 700,00
HL1020;5;Recife;20/02/2010;Motorola;R$ 1.500,00
HL1013;5;Fortaleza;20/02/2010;Nikon;R$ 1.550,00
HL1013;4;Sao Paulo;21/02/2010;Nikon;R$ 1.550,00
HL1024;4;Salvador;21/02/2010;Acer;R$ 2.400,00
HL1009;4;Belo Horizonte;21/02/2010;Motorola;R$ 1.400,00
HL1009;4;Sao Paulo;22/02/2010;Motorola;R$ 1.400,00
HL1015;5;Curitiba;22/02/2010;Sony;R$ 700,00
HL1005;2;Belo Horizonte;22/02/2010;Canon;R$ 1.500,00
HL1005;2;Sao Paulo;22/02/2010;Canon;R$ 1.500,00
HL1024;2;Sao Paulo;22/02/2010;Acer;R$ 2.400,00
HL1018;3;Sao Paulo;22/02/2010;Xiaomi;R$ 1.200,00
HL1018;2;Guarulhos;22/02/2010;Xiaomi;R$ 1.200,00
HL1024;4;Recife;22/02/2010;Acer;R$ 2.400,00
HL1005;4;Rio de Janeiro;23/02/2010;Canon;R$ 1.500,00
HL1008;2;Recife;23/02/2010;Philco;R$ 2.000,00
HL1009;1;Sao Paulo;23/02/2010;Motorola;R$ 1.400,00
HL1013;3;Fortaleza;24/02/2010;Nikon;R$ 1.550,00
HL1020;3;Sao Paulo;24/02/2010;Motorola;R$ 1.500,00
HL1024;2;Rio de Janeiro;24/02/2010;Acer;R$ 2.400,00
HL1013;4;Belo Horizonte;24/02/2010;Nikon;R$ 1.550,00
HL1015;5;Rio de Janeiro;24/02/2010;Sony;R$ 700,00
HL1008;5;Campinas;24/02/2010;Philco;R$ 2.000,00
HL1009;4;Sao Paulo;24/02/2010;Motorola;R$ 1.400,00
HL1005;3;Belo Horizonte;24/02/2010;Canon;R$ 1.500,00
HL1013;1;Rio de Janeiro;24/02/2010;Nikon;R$ 1.550,00
HL1015;3;Salvador;25/02/2010;Sony;R$ 700,00
HL1013;5;Sao Paulo;25/02/2010;Nikon;R$ 1.550,00
HL1008;4;Fortaleza;25/02/2010;Philco;R$ 2.000,00
HL1008;1;Recife;25/02/2010;Philco;R$ 2.000,00
HL1008;5;Sao Paulo;25/02/2010;Philco;R$ 2.000,00
HL1007;4;Sao Paulo;26/02/2010;Dell;R$ 2.300,00
HL1012;1;Salvador;26/02/2010;Dell;R$ 5.500,00
HL1013;5;Sao Paulo;26/02/2010;Nikon;R$ 1.550,00
HL1015;1;Rio de Janeiro;26/02/2010;Sony;R$ 700,00
HL1005;4;Curitiba;26/02/2010;Canon;R$ 1.500,00
HL1008;5;Sao Paulo;26/02/2010;Philco;R$ 2.000,00
HL1013;4;Porto Alegre;26/02/2010;Nikon;R$ 1.550,00
HL1013;5;Curitiba;27/02/2010;Nikon;R$ 1.550,00
HL1013;2;Fortaleza;27/02/2010;Nikon;R$ 1.550,00
HL1005;3;Sao Paulo;27/02/2010;Canon;R$ 1.500,00
HL1024;4;Sao Paulo;27/02/2010;Acer;R$ 2.400,00
HL1005;4;Nova Iguacu;28/02/2010;Canon;R$ 1.500,00
HL1005;1;Fortaleza;28/02/2010;Canon;R$ 1.500,00
HL1015;4;Sao Paulo;28/02/2010;Sony;R$ 700,00
HL1007;5;Fortaleza;28/02/2010;Dell;R$ 2.300,00
HL1018;1;Fortaleza;28/02/2010;Xiaomi;R$ 1.200,00
HL1020;4;Sao Paulo;28/02/2010;Motorola;R$ 1.500,00
HL1005;3;Porto Alegre;28/02/2010;Canon;R$ 1.500,00
HL1007;2;Rio de Janeiro;28/02/2010;Dell;R$ 2.300,00
HL1005;4;Sao Paulo;01/03/2010;Canon;R$ 1.500,00
HL1009;5;Sao Paulo;01/03/2010;Motorola;R$ 1.400,00
HL1018;4;Goiania;01/03/2010;Xiaomi;R$ 1.200,00
HL1008;5;Rio de Janeiro;01/03/2010;Philco;R$ 2.000,00
HL1024;2;Fortaleza;01/03/2010;Acer;R$ 2.400,00
HL1018;5;Curitiba;01/03/2010;Xiaomi;R$ 1.200,00
HL1007;4;Fortaleza;01/03/2010;Dell;R$ 2.300,00
HL1007;2;Porto Alegre;02/03/2010;Dell;R$ 2.300,00
HL1015;4;Curitiba;02/03/2010;Sony;R$ 700,00
HL1007;5;Recife;02/03/2010;Dell;R$ 2.300,00
HL1007;4;Fortaleza;02/03/2010;Dell;R$ 2.300,00
HL1024;5;Campinas;02/03/2010;Acer;R$ 2.400,00
HL1009;2;Sao Paulo;03/03/2010;Motorola;R$ 1.400,00
HL1009;5;Salvador;03/03/2010;Motorola;R$ 1.400,00
HL1007;1;Rio de Janeiro;03/03/2010;Dell;R$ 2.300,00
HL1012;1;Salvador;03/03/2010;Dell;R$ 5.500,00
HL1009;5;Rio de Janeiro;03/03/2010;Motorola;R$ 1.400,00
HL1005;4;Salvador;03/03/2010;Canon;R$ 1.500,00
HL1005;4;Campinas;03/03/2010;Canon;R$ 1.500,00
HL1024;4;Niteroi;03/03/2010;Acer;R$ 2.400,00
HL1024;2;Sao Paulo;03/03/2010;Acer;R$ 2.400,00
HL1009;5;Goiania;04/03/2010;Motorola;R$ 1.400,00
HL1007;4;Sao Paulo;04/03/2010;Dell;R$ 2.300,00
HL1018;1;Salvador;04/03/2010;Xiaomi;R$ 1.200,00
HL1012;2;Sao Paulo;04/03/2010;Dell;R$ 5.500,00
HL1020;4;Rio de Janeiro;04/03/2010;Motorola;R$ 1.500,00
HL1008;1;Guarulhos;05/03/2010;Philco;R$ 2.000,00
HL1009;4;Salvador;05/03/2010;Motorola;R$ 1.400,00
HL1024;1;Rio de Janeiro;05/03/2010;Acer;R$ 2.400,00
HL1013;5;Sao Paulo;05/03/2010;Nikon;R$ 1.550,00
HL1015;3;Salvador;05/03/2010;Sony;R$ 700,00
HL1008;4;Rio de Janeiro;05/03/2010;Philco;R$ 2.000,00
HL1015;5;Rio de Janeiro;05/03/2010;Sony;R$ 700,00
HL1005;4;Sao Paulo;05/03/2010;Canon;R$ 1.500,00
HL1020;2;Niteroi;05/03/2010;Motorola;R$ 1.500,00
HL1018;4;Rio de Janeiro;06/03/2010;Xiaomi;R$ 1.200,00
HL1015;2;Fortaleza;06/03/2010;Sony;R$ 700,00
HL1009;3;Sao Paulo;06/03/2010;Motorola;R$ 1.400,00
HL1005;3;Belo Horizonte;06/03/2010;Canon;R$ 1.500,00
HL1005;2;Porto Alegre;06/03/2010;Canon;R$ 1.500,00
HL1008;1;Sao Paulo;06/03/2010;Philco;R$ 2.000,00
HL1018;3;Recife;06/03/2010;Xiaomi;R$ 1.200,00
HL1015;2;Fortaleza;06/03/2010;Sony;R$ 700,00
HL1015;2;Fortaleza;06/03/2010;Sony;R$ 700,00
HL1018;5;Salvador;07/03/2010;Xiaomi;R$ 1.200,00
HL1005;1;Porto Alegre;07/03/2010;Canon;R$ 1.500,00
HL1009;4;Goiania;07/03/2010;Motorola;R$ 1.400,00
HL1018;2;Salvador;07/03/2010;Xiaomi;R$ 1.200,00
HL1008;1;Sao Paulo;07/03/2010;Philco;R$ 2.000,00
HL1018;3;Rio de Janeiro;07/03/2010;Xiaomi;R$ 1.200,00
HL1009;4;Goiania;08/03/2010;Motorola;R$ 1.400,00
HL1007;1;Sao Paulo;08/03/2010;Dell;R$ 2.300,00
HL1008;1;Recife;08/03/2010;Philco;R$ 2.000,00
HL1015;4;Goiania;09/03/2010;Sony;R$ 700,00
HL1009;5;Campinas;09/03/2010;Motorola;R$ 1.400,00
HL1007;5;Sao Paulo;09/03/2010;Dell;R$ 2.300,00
HL1007;3;Fortaleza;09/03/2010;Dell;R$ 2.300,00
